# 第11回「おたる案内人」検定試験
# 受験: 1級・2級
問1: 1
問2: 場所
問3: 2
問4: 3
問5: ホーレス・ケプロン
問6: 旧第一銀行小樽支店
問7: 加藤秋太郎
問8: 3
問9: 4
問10A: 青山
問10B: 茨木
問11: 4
問12A: 猪俣
問12B: (株)北海ホテル
問13A: 2
問13B: 2
問14: 2
問15: 秋田
問16: 3
問17: 4
問18: 2
問19: 2
問20: 2
問21: 3
問22: 2
問23: 右近権左衛門
問24: 2
問25: 広海二三郎
問26: 大家七平
問27: 4
問28: 西川
問29: 金子元三郎
問30: 4
問31: 2
問32: 高橋直治
問33: 3
問34: 3
問35: 3
問36: 4
問37: 2
問38: 1
問39: 3
問40: 3
問41: 青木政徳
問42: 3
問43: 2
問44: 2
問45: 2
問46: 4
問47: 弁慶号
問48: 4
問49: 3
問50: 石造倉庫
問51: ポートフェスティバル・イン・オタル
問52: 4
問53: 勝納川
問54: 横板張り又は下見板張り
問55A: 松本荘一郎
問55B: 東京駅
問56: 2
問57: 2
問58: 3
問59: 3
問60: 恵美須神社
問61: 4
問62: 2
問63: 3
問64: 3
問65: 浅原硝子
問66: 3
問67: 2
問68: 3
問69: モノタイプ
問70: 一握の砂
問71: ゴロダの丘
問72: 3
問73: 2
問74: 3
問75: 1
問76: 職人坂
問77: 3
問78: 3
問79: 4
問80: 4
問81: 1
問82: 小樽ゆき物語
問83: 旧光亭
問84: 2
問85: 3
問86: 3
問87: 4
問88: 2
問89: 寿都町
問90: おもてなし、思いやり、感謝、癒し、優しさなど
問91: 4
問92A: 3
問92B: 2
問93A: 1
問93B: 4
問93C: 2
