# 第13回「おたる案内人」検定試験
受験: 1級・2級
問1: 松前藩
問2: 2
問3: 2
問4: 3
問5: 4
問6: 4
問7: 4
問8: 大型網・角網・行成網など
問9: 3
問10: 4
問11: 2
問12A: 1又は3
問12B: 4
問13A: 中場所
問13B: 厚田
問14: 3
問15: 西川
問16: 1
問17: 2
問18: 1
問19: 3
問20: 買い積み商法
問21: 帆待ち
問22: 広海二三郎
問23: 4
問24: 1
問25: 4
問26: 2
問27: 2
問28: 小樽市中学校または長橋中学校
問29: 3
問30: 4
問31: 3
問32: 港界線
問33: 石炭
問34: 3
問35: 北垣国道
問36: 3
問37: 1
問38: 青木政徳
問39: 3
問40: ライマン
問41: 3
問42: 石炭または鉱石
問43: 質問に不備がありましたので全員1点加点
問44: 2
問45: 4
問46: 1
問47: 有幌
問48: 4
問49: 木骨石造
問50: れんが
問51: 平井晴二郎／松本荘一郎
問52: 3
問53: 2
問54: 2
問55: 4
問56: 1
問57: アール・デコ
問58: 3
問59: 3
問60: 2
問61: ルネサンス
問62: 4
問63: 3
問64: 斎藤 清
問65: 4
問66: 3
問67: 2
問68: 4
問69: 2
問70: 2
問71: 2
問72: 4
問73: 3
問74: 3
問75: 4
問76: 3
問77: 4
問78: 3
問79: 1
問80: 2
問81: 3
問82: 日本基督教団小樽教会または小樽教会
問83: 2
問84: 板谷宮吉
問85: 3
問86: 4
問87A: 3
問87B: 2
問88: 3
問89: 3
問90: 4
問91A: 3
問91B: 1
問91C: 3
問92A: 1
問92B: 4
問92C: 4
