# 第17回「おたる案内人」検定試験 解答
受験: 1級・2級
問1: 3
問2: 山田 兵蔵
問3: 4
問4: お雇い外国人
問5: 3
問6: 4
問7: 4
問8: 江差
問9: 3
問10: 茨木家
問11: 2
問12: 銀鱗荘
問13A: 3
問13B: 2
問14: 2
問15: 4
問16: 4
問17: 2
問18: 2
問19: 買い積み商法
問20: 4
問21: 3
問22: 3
問23: 西谷庄八
問24: 小樽倉庫
問25: 4
問26: 3
問27: 4
問28: 2
問29: 藤山 要吉
問30: 共成株式会社
問31: 2
問32: 4
問33: 1
問34: 3
問35: 2
問36A: 国費
問36B: 食糧
問37: 3
問38: 4
問39: 堺町岸壁
問40: 1
問41: イギリスまたは英国
問42: 1
問43: 2
問44: 5ヶ月間
問45: 4
問46: 3
問47: 広井勇
問48: 2
問49: 小樽運河を守る会
問50: 1
問51: 3
問52: 渋澤倉庫
問53A: れんが
問53B: 平井晴二郎
問54: 北海道庁旧庁舎または赤レンガ庁舎
問55: 3
問56: 3
問57: 4
問58A: アール・デコ
問58B: 酒造会社または北の誉
問59: 1
問60: 2
問61: 4
問62: 2
問63: 2
問64: 4
問65: 2
問66: 4
問67: 一握の砂
問68: 3
問69: 伊藤 整
問70: 1
問71: 2
問72: 4
問73: 1
問74: 3
問75: ダニーデン市
問76: 旧手宮線の散策路整備
問77: 2
問78: 1
問79: 2
問80: 4
問81A: 2,000
問81B: 10,000
問82: 1
問83: 2
問84: 3
問85: 2
問86: 蘭越町
問87: 3
問88: 3
問89: 旧青山別邸
問90: 4
問91: 笑顔
問92A: 1
問92B: 3
問92C: 2
問93: 1
