# 第19回「おたる案内人」検定試験 解答
# 受験: 1級・2級
問1: 1
問2: 4
問3: 2
問4: 天然の良港
問5: 2
問6: 3
問7: 加藤秋太郎
問8: 近江商人
問9: 1
問10: 3
問11: 漁民
問12A: 遊佐
問12B: 青山留吉
問13: 4
問14: 4
問15: 1
問16: 網下し
問17: 1
問18: 3
問19: 4
問20: 3
問21: 3
問22A: 1
問22B: 4
問23: 2
問24: 広海二三郎
問25: 1
問26: 2
問27: 住吉屋西川家
問28: 1
問29: 4
問30: 高橋直治
問31: 4
問32: 2
問33: 港界線
問34: 4
問35: 北垣国道
問36: 1
問37: 青木政徳
問38: 3
問39: 2
問40: 1
問41: 5ヶ月
問42: 4
問43: 2
問44: 双葉高等学校
問45: 3
問46: 4
問47: 1
問48: 広井勇
問49: 4
問50: 中央橋
問51: 3
問52: 旧早川支店
問53A: 火災
問53B: 機関車庫
問54: 4
問55: 日本銀行旧小樽支店または金融資料館
問56: 3
問57: 2
問58A: 田辺淳吉
問58B: アール・ヌーヴォー
問59: 1
問60: 4
問61: 3
問62: 4
問63: 3
問64: 2
問65: 一原有徳
問66: 2
問67: 一握の砂
問68: 2
問69: ISO
問70: 4
問71: 2
問72: 小樽運河クルーズ
問73: 2
問74: 4位
問75: 2
問76: 船見坂
問77: 3
問78: 4
問79: 1
問80: 小町湯
問81: 旧浪華倉庫
問82: 1
問83: 3
問84: 室蘭
問85: 住吉神社
問86: 4
問87: 4
問88: 1
問89: 2
問90: 西川家文書
問91: 心臓
問92: 4
問93A: 1
問93B: 1
問93C: 3
問93D: 4
