# 第1回「おたる案内人」検定試験 <解答>
# 受験: 1級 ・ 2級
問1: 2
問2: 4
問3: 2
問4: 4
問5: 3
問6: 1
問7: 4
問8: 3
問9: 3
問10: 1
問11: 3
問12: 4
問13: 4
問14: 1
問15: 4
問16: 1
問17: 3
問18: 2
問19: 1
問20: 3
問21: (不明)
問22: (不明)
問23: 4
問24: 2
問25: 1
問26: 2
問27: 3
問28: 4
問29: 3
問30: 2
問31: 4
問32: 2
問33: 4
問34: 4
問35: 3
問36: 3
問37: 4
問38: 4
問39: 4
問40: 2
問41: 1
問42: 1
問43: 3
問44: 4
問45: 4
問46: (不明)
問47: 2
問48: 1
問49: 3
問50: 1
問51: 2
問52: 1
問53: 3
問54: 4
問55: 2
問56: 2
問57: 3
問58: 1
問59: 2
問60: 4
問61: 4
問62: 4
問63: 1
問64: 3
問65: 2
問66: 2
問67: 4
問68: 3
問69: 1
問70: 2
問71: (不明)
問72: 1
問73: 1
問74: 4
問75: 3
問76: 3
問77: 4
問78: 2
問79: 3
問80: 4
問81: 2
問82: 4
問83: 1
問84: 3
問85: 3
問86: 4
問87: 3
問88: 3
問89: 2
問90: 4
問91: 4
問92: 1
問93: 2
問94: 2
問95: 1
問96: 2
問97: 1
問98: 2
問99: 4
問100: 1
