# 第20回「おたる案内人」1級・2級 検定試験 解答
# 受験: 1級・2級
問1: 恵比須屋
問2: 4
問3: 3
問4: ケプロン
問5: 2
問6: 木村円吉
問7: 4
問8: 群来
問9: 2
問10: 商場または場所
問11: 3
問12: 1
問13: 北海道炭礦汽船(株)
問14: 750
問15A: 1
問15B: 4
問16: 2
問17: 4
問18: 3
問19: 買い積み商法
問20: 3
問21: 持下り
問22: 1
問23: 4
問24: 広海二三郎
問25A: 西出孫左衛門
問25B: 8
問26: 2
問27: 2
問28: 北一硝子三号館
問29: 1
問30: 4
問31: 3
問32: 4
問33: 重要港湾
問34: 石造
問35: 1
問36: 4
問37: 4
問38: 大正12年(1923)
問39: 3
問40: ライマン
問41A: 黒田清隆
問41B: アメリカ式
問42: 2
問43: 4
問44: 2
問45: 5
問46: 3
問47: 140年
問48: 3
問49: 4
問50: 1
問51: 4
問52: 木骨石造
問53: 松本荘一郎
問54: 東京駅
問55: 4
問56: 2
問57: 1
問58A: 鉄筋コンクリート
問58B: スパイラルシュート
問59: 1
問60: 2
問61: 4
問62A: 坂牛邸
問62B: 田上義也
問63: 4
問64: 3
問65: 4
問66: 1
問67: 4
問68: 4
問69: 1
問70: 3
問71: 3
問72: 700号
問73: 2
問74: 5位
問75: 4
問76: グリッズプレミアムホテル小樽
問77: 上位
問78: 3
問79: 1
問80: 4
問81: 北垣国道
問82: 3
問83: 2,000個
問84: 3
問85: 4
問86: 花月堂
問87: 4
問88: 寿都町
問89: 3
問90: 旧猪俣邸または銀鱗荘
問91: 1
問92: どう伝わったか
問93A: 4
問93B: 2
問93C: 3
