# 第21回「おたる案内人」検定試験解答(1級・2級)
# 受験: 1級・2級
問1A: 運上屋
問1B: 堺町郵便局
問2: 山田兵蔵
問3: 3
問4: 4
問5: 1
問6: 2
問7: 2
問8: 2
問9: 江差追分
問10: 3
問11: 近江家番屋
問12: 2
問13: 統
問14: 青山
問15: 2
問16: 4
問17: 4
問18: 2
問19: 4
問20: 樽
問21: 1割
問22: 1
問23: 西川家文書
問24: 3
問25A: 2
問25B: 4
問26: 2
問27: 石橋彦三郎
問28: 2
問29: 2
問30: 4
問31: 3
問32: 4
問33A: 茅柴
問33B: 港界線
問34: 3
問35: 4
問36: 4
問37: 1
問38: 2
問39: 厩町岸壁
問40: ライマン
問41: 3
問42: 3時間
問43: 85万円
問44: 1
問45: 4
問46: 3
問47: 2
問48: 有幌
問49: 4
問50: 4
問51: 4
問52: 1
問53: 4
問54: 早川支店
問55: 平井晴二郎
問56: 3
問57: 4
問58A: 鉄筋コンクリート
問58B: 100年
問59: 1
問60: 三井銀行小樽支店
問61: 1
問62: 4
問63: 2
問64: 浅原硝子
問65: 一原有徳
問66: 1
問67: 4
問68: 1
問69: 3
問70: 2
問71: 4
問72: OMO5小樽by星野リゾート
問73: 4
問74: 2 (3も正解とする)
問75: 4
問76: 8位
問77: 2
問78: 喫茶コロンビア
問79: 1
問80: 4
問81: 4
問82: 板谷宮吉
問83: 澤の露本舗
問84: 3
問85: 4
問86: 岡崎倉庫
問87: 1
問88: 神恵内村
問89: 4
問90A: 1
問90B: 3
問91: 4
問92: 4
問93A: 1
問93B: 1
問93C: 3
