# 第22回「おたる案内人」検定試験解答(1級・2級)
# 受験: 1級・2級
問1: 元治2年・1865年
問2A: 開拓使
問2B: 郡・小樽郡
問3: 2
問4: 黒田清隆
問5: 天然
問6: 3
問7: 4
問8: 3
問9: オタルナイ場所
問10: 茨木家
問11: 4
問12: 3
問13: 2
問14: 白鳥家
問15: 4
問16: 1
問17: 木遣り音頭
問18: 4
問19: 4
問20: 広海倉庫
問21: 塩谷神社
問22: 1
問23: 日和山
問24: 4
問25A: 1
問25B: 2
問26: 1
問27: 4
問28: 1
問29: 4
問30: 倉橋大介
問31: 1
問32: 小樽芸術村ステンドグラス美術館
問33: 3
問34: 石炭
問35: 国際貿易港または開港場
問36: 4
問37: 3
問38: 2
問39: 4
問40: 1
問41: 4
問42: 入船川陸橋
問43: 3
問44: 3
問45: 4
問46: 4
問47: アイアンホース号
問48: 3
問49: 1
問50: シラカンバ
問51: 4
問52: 3
問53: 2
問54: 磯野支店倉庫
問55A: レンガ造
問55B: 平井晴二郎
問56: 4
問57: 4
問58A: アール・デコ
問58B: 昭和
問59: 4
問60: 3
問61: 2
問62: 1
問63: 2
問64: 2
問65: 4
問66: 国松登
問67: 1
問68: 幽鬼の街
問69: 3
問70: 2
問71: 3
問72: 4
問73: 50周年
問74: 4
問75: 5位
問76: 2
問77: 1
問78: 第3号埠頭
問79: 4
問80: 1
問81: 中央市場
問82: 小樽美人
問83: 3
問84: 1
問85: 3
問86: 2
問87: 3
問88: 4
問89A: 1
問89B: 3
問90: 4
問91: 3
問92: 笑顔
問93A: 1
問93B: 2
問93C: 2
