# 第23回「おたる案内人」検定試験 解答
# 受験: 1級・2級
問1: 明治2年または1869年
問2: 2
問3A: 蝦夷地
問3B: 場所請負制
問4: 2
問5: 3
問6: 蛇の目
問7: 4
問8: 4
問9: 2
問10: 青山家
問11: 茨木家
問12: 4
問13: 3
問14: 秋田
問15: 3
問16: 4
問17: 2
問18: 子はたき音頭
問19: 2
問20: 1
問21: 1
問22: 3
問23A: 3
問23B: 2
問24: 徳源寺
問25A: 東洋一
問25B: 山の手
問26: 引札
問27: 2
問28: 2
問29: 4
問30: 4
問31: 北門新報
問32: 1
問33: 重要港湾
問34: 4
問35: 特別輸出港
問36: 3
問37: 3
問38: 3
問39: 4
問40: 2
問41: ゲント
問42: 1
問43: 2
問44: 4
問45: 4
問46: 1
問47: 333個
問48: 昭和47年または1972年
問49: 2
問50: 北浜橋
問51: 3
問52A: 石
問52B: 横板張り又は下見板張り
問53: うだつ又は袖壁
問54: 4
問55: 2
問56: 3
問57: 1
問58A: 横長
問58B: スパイラルシュート
問59: 1
問60: 2
問61: 4
問62: 1
問63: 3
問64: 2
問65: 緑小学校
問66: 中村善策
問67: 石川啄木
問68: 1
問69: 3
問70: 2
問71: 1
問72: 浮世絵美術館
問73: 小樽グランベルホテル
問74: 4
問75: 4位
問76: 4
問77: 1
問78: 100
問79: 2
問80: 4
問81: 3
問82: 4
問83: 4
問84: 2
問85: 3
問86: 2
問87: 4
問88: 2
問89: 4
問90: 2
問91: 4
問92: 1
問93A: 4
問93B: 4
問93C: 2
