# 第3回「おたる案内人」検定試験 解答
# ※注記: 問89 正しくは <4> です。問97は全員に1点加点。「ひらがな等」での解答も正解とする。
問1: 2
問2: 鰊
問3: 4
問4: 長橋中学校
問5: 3
問6: 2
問7: 白鳥家
問8: 4
問9: 泊村
問10: 猪俣家
問11: 於古発川・妙見川
問12: 2
問13: 4
問14: 4
問15: 身欠き鰊・身欠き
問16: 新潟県・越後
問17: 4
問18: 3
問19: 4
問20: 1
問21: 松前
問22: 西谷庄八
問23: 2
問24: (不明)
問25: 1
問26: 西川伝右衛門
問27: 北門新報
問28: 3
問29: 3
問30: 3
問31: 高橋直治
問32: 岡崎謙
問33: 4
問34: 茅柴岬
問35: 3
問36: 3
問37: 1
問38: 伊藤長右衛門
問39: 4
問40: 4
問41: 3
問42: 雪馬車・馬橇
問43: トベイ号
問44: 義経トンネル・張碓第五トンネル
問45: 2
問46: 廣井勇
問47: 石造倉庫・木骨石造倉庫・有幌倉庫
問48: 3
問49: 3
問50: 3
問51: 雪あかりの路
問52: 勝納川
問53: 下見板張り
問54: 平井晴二郎
問55: 2
問56: 2
問57: 2
問58: 3
問59: 小樽区公会堂・公会堂
問60: 4
問61: 2
問62: 鉄骨鉄筋コンクリート
問63: 龍宮閣
問64: 1
問65: 小樽焼・小樽窯
問66: 3
問67: 3
問68: 三浦鮮治
問69: 2
問70: 3
問71: 3
問72: 野口雨情
問73: 3
問74: 2
問75: 1
問76: 2
問77: 蜃気楼
問78: 職人坂
問79: 静屋通り
問80: 2
問81: ゆらぎの里
問82: 3
問83: 2
問84: 3
問85: 3
問86: 2
問87: 妙見市場
問88: 3
問89: 4
問90: 3
問91: ろまん号
問92: 蘭越町
問93: ホスピタリティ
問94: 1
問95: 2
問96: 1
問97: (全員に1点加点)
問98: 2
問99: マーケティング
問100: 人の力・人力・やさしい心・思いやる心など
