# 第4回「おたる案内人」検定試験解答用紙
# 受験: 1級 ・ 2級
# ※注記: 問11の解答は第2回検定試験解答の誤表記により今回のみ「4」と解答された方も1点加点。
問1: 場所
問2: 金肥
問3: 1
問4: 明治15年
問5: 4
問6: 3
問7: 3
問8: 4
問9: 3
問10: 4
問11: 1
問12: 2
問13: 北海道炭礦汽船（株）
問14: 3
問15: 子はたき音頭
問16: 網下ろし
問17: 化学肥料
問18: 3
問19: 下りもの
問20: 買い積み
問21: 2
問22: 肥料
問23: 4
問24: 広海二三郎
問25: 1
問26: 4
問27: 2
問28: 金子元三郎
問29: 山田吉兵衛
問30: 4
問31: 小豆将軍 または 豆成金
問32: 不在地主
問33: 4
問34: 重要港湾
問35: 特別輸出港
問36: 3
問37: 4
問38: 青木政徳
問39: 3
問40: 2
問41: 1
問42: 1
問43: トベイ号
問44: 2
問45: しづか
問46: 舺
問47: 小樽運河を守る会
問48: 3
問49: 4
問50: 木骨石造
問51: 2
問52: 縦長窓または上げ下げ窓
問53: 平井晴二郎
問54: 2
問55: 曽禰達蔵
問56: 4
問57: 1
問58: 2
問59: 3
問60: 3
問61: ルネサンス
問62: 4
問63: 2
問64: 1
問65: 2
問66: 浮玉
問67: 小樽洋画研究所
問68: 4
問69: 1
問70: 4
問71: 一握の砂
問72: 3
問73: 4
問74: 4
問75: 2
問76: 松浦武四郎
問77: 梁川通り
問78: アオバト
問79A: 2
問79B: 1
問80: 2
問81: 4
問82: 1
問83: 東雲町
問84: 4
問85: 2
問86: 4
問87: 3
問88: 4
問89: 2
問90: 神恵内村
問91A: 3
問91B: 4
問91C: 2
問91D: 1
問91E: 2
問92: 代表選手
問93: おもてなし
問94A: ブランディング
問94B: マーケティング （※A・B逆も正解）
