# 第5回「おたる案内人」検定試験解答用紙
# 受験: 1級 ・ 2級
# ※注記: 問19 テキスト上での正解はA北前船、B倉庫ですが、A商人、B道路・商店なども正解とします。
問1: 村並・オタルナイ村・穂足内村のいずれか
問2: 2
問3: 場所請負制
問4: 3
問5: ホーレス・ケプロン
問6: 中越銀行
問7: 3
問8: ③（番号）／白子または精子
問9: 4
問10: 3
問11: 青山
問12: 4
問13: 3
問14: 4
問15: 2
問16: シタゴエ
問17: 木遣り音頭
問18: 1
問19A: 北前船・商人
問19B: 倉庫・道路・商店
問20: 3
問21: 帆待ち または 切出し
問22: 4
問23: 1
問24: 4
問25: 3
問26: 大家七平
問27: 2
問28: 4
問29: 山田吉兵衛
問30: 板谷宮吉
問31: 2
問32: 小樽オルゴール堂
問33: 岡崎謙
問34: 1
問35: 茅柴（かやしば）
問36: 3
問37A: 火山灰
問37B: 斜め
問38: 4
問39: 4
問40: 2
問41: 3
問42: 4
問43: 3時間
問44: 4
問45: 2
問46: 廣井勇
問47: 有幌
問48: 3
問49: ポートフェスティバル・イン・オタル
問50: 金曇町
問51: 2
問52: れんが
問53A: 平井晴二郎
問53B: 北海道庁旧本庁舎
問54: 2
問55: 2
問56: 小樽区公会堂または小樽市公会堂
問57: 2
問58: アール・デコ
問59: 3
問60: 3
問61: 4
問62: 2
問63A: 4
問63B: 1
問64: 3
問65: 北一硝子
問66: 4
問67: 3
問68: 一原有徳
問69: 3
問70: 1
問71: 4
問72: 1
問73: 栗
問74: 3
問75: 4
問76A: 北垣国道
問76B: 静屋
問77: 2
問78: 3
問79: ゆらぎ
問80: 3
問81: 勝納町
問82: 4
問83: 4
問84: 2
問85: 3
問86: 1
問87: 4
問88: 神恵内村
問89A: 3
問89B: 1
問89C: 4
問89D: 4
問90A: 1
問90B: 1
問90C: 4
