# 第7回「おたる案内人」検定試験解答用紙
# 受験: 1級・2級
問1: 3
問2: 2
問3: 2
問4: 明治15年
問5: ベンジャミン・スミス・ライマン
問6: 高橋直治
問7: 2
問8: 2
問9A: 2
問9B: 4
問10: 白鳥家
問11: 4
問12: 余市町
問13A: 1
問13B: 4
問14: 4
問15: 3
問16: 子はたき音頭
問17: 高島
問18: 2
問19: 4
問20: 2
問21: 蔵敷業務
問22: 3
問23: 松前
問24: 西出孫左衛門
問25: ヤマシチ
問26: 3
問27: 2
問28: 3
問29: 金子元三郎
問30: 山田吉兵衛
問31: 2
問32: 沼田喜三郎
問33: 3
問34: 茅柴岬
問35: 2
問36: 2
問37: 4
問38: ケーソン
問39: 3
問40: 3
問41: 1
問42: 3
問43: 4
問44: 5
問45: 2
問46: 1
問47: 2
問48: 廣井勇
問49: ポートフェスティバル・イン・オタル
問50: 3
問51: 4
問52: 3
問53: 木骨石造
問54: 2
問55A: 松本荘一郎
問55B: 北海道庁旧本庁舎
問56: 佐立七次郎
問57: 日本銀行小樽支店
問58: 3
問59: 旧第一銀行小樽支店
問60: アール・ヌーヴォー
問61: 2
問62: 田上義也
問63: 2
問64: 旧安田銀行
問65: NPO法人北海道職人義塾大学校
問66: 2
問67: 2
問68: 3
問69: 3
問70: 中村善策
問71: 3
問72: 1
問73: 4
問74: 小林多喜二
問75: ガントリークレーン
問76: 1
問77: 3
問78: 4
問79: 3
問80: 3
問81: 2
問82: 2
問83: 3
問84: 2
問85: 2
問86: 妙見市場
問87: 3
問88: 2
問89A: 鰊
問89B: 泊
問90: 3
問91: 2
問92: 4
問93: 3
問94A: 1
問94B: 4
問94C: 4
