# 第8回「おたる案内人」検定試験解答
# 受験: 1級・2級
問1: 1
問2: 3
問3: 2
問4: 大家倉庫
問5: 黒田清隆
問6: 11
問7: 1石
問8A: 3
問8B: 2
問9: 3
問10: 白鳥家
問11: 茨木家
問12: 3
問13: 1
問14: 4
問15: 3
問16: 3
問17: 3
問18: 2
問19: 魚肥
問20: 買い積み
問21: 帆待ち
問22: 4
問23: 加賀
問24: 1
問25: 大家七平
問26: 2
問27: 2
問28: 3
問29: 山田吉兵衛
問30: 2
問31: 小樽市中学校または現:長橋中学校
問32: 3
問33: 木村倉庫
問34: 重要港湾
問35: 2
問36: 2
問37: 1
問38: 3
問39: 伊藤長右衛門
問40: 青木政徳
問41: 3
問42: 3
問43: 4
問44: 1
問45: 2
問46: 12
問47: 4
問48: 2
問49: 4
問50: 峯山冨美
問51: 1
問52: 3
問53: 石置き板葺き屋根または石置き屋根
問54: 3
問55A: 平井晴二郎
問55B: レンセラー工科大学
問56: 木骨石造
問57: 3番目
問58: 津古丹稲荷
問59: 2
問60: 4
問61: 2
問62: 1
問63: 3
問64: 4
問65: 1
問66: 浅原硝子製造所
問67: 2
問68: 3
問69: モノタイプ
問70: 1
問71: 3
問72: 1
問73: 3
問74: 4
問75: 3
問76: 2
問77: 3
問78: 2
問79: 4
問80: 3
問81: 2
問82: 2
問83: 2
問84: 3
問85: 4
問86: 1
問87: 鰊友朝市
問88: 田中酒造
問89: 2
問90A: 祝津
問90B: 旧青山別邸
問91: 岩内町
問92: おもてなし、思いやり、感謝、癒し、優しさなど
問93: ヒューマンスケール
問94: 2
問95: 4
問96A: 3
問96B: 4
